date,deaths,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cases
2020-02-15 00:00:00,-0.18878716417999628,1.5453088061409845,0.9358083856991006,0.8145627982512574,1.7119066181385643,1.2618221723856868,-1.4309457230077924,0.2926829268292683
2020-02-16 00:00:00,-0.1889207138996652,1.4967442117306229,0.919832016598233,0.5145296616872027,1.5770645488918638,1.2207898717722536,-1.3264837161515173,0.36585365853658536
2020-02-17 00:00:00,-0.1889207138996652,1.4401372805634847,0.8357543603376449,0.6220501969819823,1.5205184037500492,1.2220314773686414,-1.4133260053662366,0.21951219512195122
2020-02-18 00:00:00,-0.1889207138996652,1.4736883729599268,0.8635143602632637,0.6630226119026325,1.5354764959420781,1.2827985553438126,-1.454772464953582,0.0
2020-02-19 00:00:00,-0.1889207138996652,1.4220599750420007,0.7973603671746126,0.6080927245695124,1.502304645955197,1.2714221744835312,-1.466666705529429,0.17073170731707318
2020-02-20 00:00:00,-0.1889207138996652,1.4635685764473156,0.8357198955177313,0.6183248185920152,1.549884252456834,1.225049888001354,-1.4653917235366785,0.43902439024390244
2020-02-21 00:00:00,-0.1889207138996652,1.4648514535728967,0.877065565592348,0.705794570696638,1.617101920874335,1.2055321450271403,-1.4180156328357583,0.3170731707317073
2020-02-22 00:00:00,-0.1889207138996652,1.456689108537998,0.8745679976166026,0.7225761891199332,1.720303021984337,1.246847922285553,-1.4016273873244756,1.2926829268292683
2020-02-23 00:00:00,-0.18865361446032736,1.5354363780234972,0.9978924980827034,0.6821762602816732,1.6648269084117209,1.2431091082262342,-1.367549184653583,2.2439024390243905
2020-02-24 00:00:00,-0.1889207138996652,1.450037090922381,0.8774847573642917,0.8365740150619619,1.4979630089808675,0.973026943313178,-1.341069488442419,1.6829268292682926
2020-02-25 00:00:00,-0.18838651502098952,1.4298416945975476,0.855726139871276,0.7556016447023073,1.4576956078384822,0.9620533709435318,-1.3032953870928043,2.975609756097561
2020-02-26 00:00:00,-0.18825296530132063,1.372659736492407,0.8428081394226725,0.5565025930149297,1.441660645901226,1.151151592339679,-1.3963384914921029,3.317073170731707
2020-02-27 00:00:00,-0.18838651502098955,1.403631747006477,0.8771995634180344,0.5328164370041251,1.4450813947233032,1.1489372206812523,-1.3584034977645192,3.5853658536585367
2020-02-28 00:00:00,-0.18825296530132063,1.477090155773198,0.9715279755983552,0.6523666409799495,1.534487007928835,1.2433855439419004,-1.398400774590942,9.609756097560975
2020-02-29 00:00:00,-0.18838651502098952,1.4398774103699026,0.98213062518958,0.5120075402657588,1.5253569986165454,1.2790409618217917,-1.3398713724835893,8.439024390243903
2020-03-01 00:00:00,-0.1889207138996652,1.4937704241685374,1.0291889002703942,0.5351889578691537,1.5572095019621297,1.27373780023153,-1.3061861162354385,0.0
2020-03-02 00:00:00,-0.1889207138996652,1.4408265263266455,0.9640829122085445,0.556763308760897,1.4714105846208534,1.2780345165184746,-1.3940057354924569,0.14634146341463414
2020-03-03 00:00:00,-0.18461850507318792,1.4605087761755022,0.964258386477726,0.5471143783208982,1.3953777453946692,1.2922666750994467,-1.3956674204584723,19.821428571428573
2020-03-04 00:00:00,0.059912091559013406,1.4343841812717872,0.8749417952574744,0.47672039716077097,1.2384940622315588,1.4408800774980954,-1.2397347107722159,738.5
2020-03-05 00:00:00,0.05200298038306518,1.4500669833492925,0.8976632875420457,0.48130673833259524,1.2376282801088765,1.4222644117211132,-1.2350702731621164,668.6222222222223
2020-03-13 00:00:00,-0.16154302136753676,0.9639792118202232,1.2425994458571084,0.2586631270099843,0.9235050482019246,0.9497239682768881,-0.8967277561972155,144.0
2020-03-14 00:00:00,-0.1566541477010853,0.674716310231015,0.871049446279571,0.35090489533577107,0.8166920943602802,0.9437014015848008,-0.8017928432167719,142.73214285714286
2020-03-15 00:00:00,-0.17031998750283694,0.5529725026535847,0.5951608366957328,0.3116064276204115,0.634067555235748,0.7891118572332665,-0.7025465259229907,146.9264705882353
2020-03-16 00:00:00,-0.1413073355829202,0.6243935412707299,0.8980639345699407,0.24449090765001927,0.539785614093379,0.43629715852234235,-0.4024680159990747,149.18840579710144
2020-03-17 00:00:00,-0.156295630298879,0.3411007316960826,0.4831811036464585,0.13989937275707598,0.31273853861861817,0.20574941010318118,-0.1918679697163177,166.625
2020-03-18 00:00:00,-0.14297058670384977,0.17444695392822596,0.3045964921392256,0.060404348213137754,0.17121785935852935,0.061937149527965654,0.007289211609593212,193.33783783783784
2020-03-19 00:00:00,-0.13658309908499902,0.06020516169640392,0.14988222575772017,0.013065391456298562,0.05173329428308661,-0.043738831341453045,0.1478543112506738,222.7012987012987
2020-03-20 00:00:00,-0.13183822497017753,-0.08568791923940114,0.06025632608095788,-0.14766156695259278,-0.12355479774778369,-0.08820061925248006,0.31273403237089353,345.9
2020-03-21 00:00:00,-0.11343650448965402,-0.29830037258659187,-0.2033009636976287,-0.27229359475838105,-0.1676625718982065,0.10927368600084554,-0.002377680916199785,336.7142857142857
2020-03-22 00:00:00,-0.0945631782424225,-0.4896791546220123,-0.5833084090753853,-0.37381114693524664,-0.37485268157059587,-0.007022107446180997,-0.014884616960635567,357.51162790697674
2020-03-23 00:00:00,-0.09803936213784117,-0.24394139084888575,-0.2531806276210007,-0.28161569494058514,-0.30975537385703406,-0.3669937934355257,0.41334615749862424,354.60919540229884
